offre,candidat,sem_sim,skill_rate,exp_score,formation_score,apr_rate,label
Ingénieur Backend Python / FastAPI,Senior Backend Python,0.690754,1.0,0.9706,1.0,0.5,0.95
Ingénieur Backend Python / FastAPI,Mid Backend Django,0.530841,0.625,0.6973,1.0,0.5,0.6792
Ingénieur Backend Python / FastAPI,Junior Python Flask,0.543888,0.25,0.4779,0.6,0.5,0.3483
Ingénieur Backend Python / FastAPI,Senior Java Spring,0.518335,0.375,0.8293,1.0,0.5,0.6375
Ingénieur Backend Python / FastAPI,Junior Java Angular Stage,0.549557,0.25,0.2854,0.8,0.5,0.295
Ingénieur Backend Python / FastAPI,Senior Data Scientist,0.503394,0.375,0.806,1.0,0.5,0.6375
Ingénieur Backend Python / FastAPI,Data Analyst Junior,0.506664,0.25,0.4763,0.6,0.5,0.3483
Ingénieur Backend Python / FastAPI,Senior Frontend React,0.504709,0.25,0.8217,0.6,0.5,0.515
Ingénieur Backend Python / FastAPI,Junior Frontend Vue,0.511945,0.125,0.4194,0.4,0.5,0.2558
Ingénieur Backend Python / FastAPI,Senior DevOps AWS,0.518639,0.25,0.8227,1.0,0.5,0.575
Ingénieur Backend Python / FastAPI,Développeur PHP Laravel,0.509734,0.375,0.8237,0.6,0.5,0.5775
Ingénieur Backend Python / FastAPI,Analyste Sécurité,0.504472,0.125,0.8182,1.0,0.5,0.5125
Ingénieur Backend Python / FastAPI,Marketing Digital Expert,0.500526,0.0,0.7447,0.6,0.5,0.39
Ingénieur Backend Python / FastAPI,Comptable,0.500013,0.0,0.7542,0.6,0.5,0.39
Ingénieur Backend Python / FastAPI,Commercial Vente,0.500197,0.0,0.738,0.6,0.5,0.39
Data Scientist Machine Learning,Senior Backend Python,0.50385,0.25,0.8296,1.0,0.5,0.575
Data Scientist Machine Learning,Mid Backend Django,0.501697,0.25,0.8332,1.0,0.5,0.575
Data Scientist Machine Learning,Junior Python Flask,0.502001,0.279623,0.5434,0.6,0.5,0.39
Data Scientist Machine Learning,Senior Java Spring,0.500677,0.154623,0.8262,1.0,0.5,0.5125
Data Scientist Machine Learning,Junior Java Angular Stage,0.501006,0.25,0.2698,0.8,0.5,0.295
Data Scientist Machine Learning,Senior Data Scientist,0.653557,1.0,0.9204,1.0,0.5,0.95
Data Scientist Machine Learning,Data Analyst Junior,0.544502,0.75,0.6394,0.6,0.5,0.64
Data Scientist Machine Learning,Senior Frontend React,0.500036,0.125,0.763,0.6,0.5,0.4525
Data Scientist Machine Learning,Junior Frontend Vue,0.500033,0.125,0.51,0.4,0.5,0.2975
Data Scientist Machine Learning,Senior DevOps AWS,0.501781,0.125,0.7922,1.0,0.5,0.5125
Data Scientist Machine Learning,Développeur PHP Laravel,0.500239,0.154623,0.7694,0.6,0.5,0.4525
Data Scientist Machine Learning,Analyste Sécurité,0.500396,0.125,0.8051,1.0,0.5,0.5125
