offre_titre,candidat_nom,offer_dom,cand_dom,model_score,human_label,timestamp
Développeur Python Senior,Dev Python 2ans,it,it,0.723,0.5,2026-06-13 02:44
Infirmier Urgences Senior,Responsable RH 7ans,sante,rh,0.091,0.0,2026-06-13 02:44
Infirmier IDE Soins Intensif,Infirmier IDE 4ans,sante,sante,0.888,1.0,2026-06-13 02:44
Contrôleur de Gestion,Comptable 5ans,finance,finance,0.76,1.0,2026-06-13 02:44
Chargé RH Recrutement,Ingénieur GC 4ans,rh,btp,0.146,0.0,2026-06-13 02:44
Ingénieur DevOps Cloud,Dev Python 5ans,it,it,0.361,0.5,2026-06-13 02:44
Développeur React Frontend,Infirmier IDE 4ans,it,sante,0.05,0.0,2026-06-13 02:44
Stage Développeur Python,Dev Python 2ans,it,it,0.834,0.5,2026-06-13 02:44
Auditeur Interne Junior,Juriste Affaires 4ans,finance,droit,0.117,0.0,2026-06-13 02:44
Infirmier IDE Soins Intensif,HR Manager EN,sante,rh,0.104,0.0,2026-06-13 02:44
Contrôleur de Gestion,Auditeur 2ans,finance,finance,0.309,0.5,2026-06-13 02:44
Développeur React Frontend,Dev React 3ans,it,it,0.761,1.0,2026-06-13 02:44
Auditeur Interne Junior,Dev Java 4ans,finance,it,0.222,0.0,2026-06-13 02:44
Chargé RH Recrutement,Responsable RH 7ans,rh,rh,0.375,0.5,2026-06-13 02:44
Développeur Python Senior,Recruteur Junior,it,rh,0.119,0.0,2026-06-13 02:44
Infirmier Urgences Senior,Infirmier IDE 4ans,sante,sante,0.801,1.0,2026-06-13 02:44
Ingénieur DevOps Cloud,Dev React 3ans,it,it,0.235,0.0,2026-06-13 02:44
Juriste Droit des Affaires,Chargée RH 3ans,droit,rh,0.454,0.5,2026-06-13 02:44
Responsable RH Senior,Resp Logistique 4ans,rh,logistique,0.116,0.0,2026-06-13 02:44
Infirmier Urgences Senior,Dev Java Junior,sante,it,0.075,0.0,2026-06-13 02:44
Infirmier IDE Soins Intensif,Infirmier 2ans,sante,sante,0.784,1.0,2026-06-13 02:44
Infirmier IDE Soins Intensif,Comptable Junior 1an,sante,finance,0.099,0.0,2026-06-13 02:44
Responsable RH Senior,Dev Java Junior,rh,it,0.119,0.0,2026-06-13 02:44
Juriste Droit des Affaires,Dev Python 5ans,droit,it,0.103,0.0,2026-06-13 02:44
Chargé RH Recrutement,Recruteur Junior,rh,rh,0.518,0.5,2026-06-13 02:44
Juriste Droit des Affaires,Ingénieur GC 4ans,droit,btp,0.112,0.0,2026-06-13 02:44
Infirmier Urgences Senior,Juriste Affaires 4ans,sante,droit,0.05,0.0,2026-06-13 02:44
Responsable Logistique,DevOps 4ans,logistique,it,0.224,0.0,2026-06-13 02:44
Auditeur Interne Junior,Auditeur 2ans,finance,finance,0.881,1.0,2026-06-13 02:44
Data Scientist ML,Resp Logistique 4ans,it,logistique,0.108,0.0,2026-06-13 02:44
Infirmier IDE Soins Intensif,Dev Java 4ans,sante,it,0.104,0.0,2026-06-13 02:44
Juriste Droit des Affaires,Dev Java Junior,droit,it,0.089,0.0,2026-06-13 02:44
Responsable RH Senior,Chargée RH 3ans,rh,rh,0.748,0.5,2026-06-13 02:44
Chef de Projet Marketing,Chargée RH 3ans,marketing,rh,0.125,0.0,2026-06-13 02:44
Comptable Senior,Auditeur 2ans,finance,finance,0.331,0.5,2026-06-13 02:44
Infirmier Urgences Senior,DevOps 4ans,sante,it,0.079,0.0,2026-06-13 02:44
Stage Développeur Python,Comptable Junior 1an,it,finance,0.231,0.0,2026-06-13 02:44
Développeur Python Senior,Comptable 5ans,it,finance,0.129,0.0,2026-06-13 02:44
Comptable Senior,Contrôleur GS 3ans,finance,finance,0.298,0.5,2026-06-13 02:44
Data Scientist ML,Comptable 5ans,it,finance,0.164,0.0,2026-06-13 02:44
